URL,Size,OutLinks,ContentType
https://www.usatoday.com/story/sports/nfl/2018/11/24/mike-ditka-hospitalized-after-suffering-heart-attack/2100512002/,110122,139,text/html
https://www.usatoday.com/story/news/nation/2019/08/29/us-throws-away-3-500-donated-kidneys-per-year-study-says-heres-why/2139644001/,123115,148,text/html
https://www.usatoday.com/story/sports/boxing/2018/12/09/first-transgender-male-boxer-pro-debut/2256858002/,120690,136,text/html
https://www.usatoday.com/story/tech/columnist/2019/10/15/google-pixel-earbuds-home-hub-seamless/3987977002/,119048,142,text/html
https://www.usatoday.com/story/news/2019/08/09/america-dirtiest-beaches-list-bacteria-safe-revised/1900961001/,116110,137,text/html
https://www.usatoday.com/story/news/2017/09/13/without-official-order-houston-firefighters-were-undermanned-harvey-flood-rescues/657734001/,120447,133,text/html
https://www.usatoday.com/story/money/2020/01/24/store-closings-2020-macys-jcpenney-bed-bath-beyond-express/4540886002/,134204,144,text/html
https://www.usatoday.com/story/money/2019/12/22/medicare-premiums-paying-too-much-heres-few-ways-avoid/2665862001/,106715,140,text/html
https://www.usatoday.com/story/opinion/2018/02/19/parkland-school-shootings-not-new-normal-despite-statistics-stretching-truth-fox-column/349380002/,119662,146,text/html
https://www.usatoday.com/story/life/people/2018/02/03/uma-thurman-harvey-weinstein-alleges-he-made-unwanted-advances/303597002/,119462,138,text/html
https://www.usatoday.com/story/life/entertainthis/2017/09/18/emmys-not-on-camera-telecast/676144001/,120080,140,text/html
https://www.usatoday.com/story/news/world/2017/08/09/state-media-north-korea-releases-jailed-canadian-pastor-humanitarian-grounds/551685001/,114651,138,text/html
https://www.usatoday.com/story/news/2017/09/29/heres-why-45-ft-tall-nude-sculpture-coming-national-mall/718238001/,114140,134,text/html
https://www.usatoday.com/story/news/nation/2019/03/15/montana-trooper-3-others-shot/3183020002/,117449,141,text/html
https://www.usatoday.com/story/life/tv/2019/01/13/hbo-set-final-game-thrones-premiere-date/2567381002/,105501,138,text/html
https://www.usatoday.com/videos/tech/2018/08/15/blue-origin-says-itll-start-selling-tickets-space-tourists-2019/37491385/,151765,112,text/html
https://www.usatoday.com/videos/news/nation/2017/07/27/shark-jumps-onto-fishing-boat-stuns-everyone/104061530/,152113,112,text/html
https://www.usatoday.com/story/tech/2018/06/17/after-amazon-tax-fails-seattle-has-no-clear-path-help-homeless/698575002/,119994,144,text/html
https://www.usatoday.com/videos/news/2019/06/10/chilling-surveillance-video-shows-moment-david-ortiz-shot/1407456001/,154013,112,text/html
https://www.usatoday.com/videos/money/2018/02/02/1.35-billion-chicken-wings-consumed-during-sblii/110027640/,151477,112,text/html
https://www.usatoday.com/story/news/nation/2019/08/13/devon-bailey-shooting-colorado-family-investigation-police-shooting/2003519001/,119996,139,text/html
https://www.usatoday.com/story/money/2017/07/19/young-investor-yolo/474990001/,115478,137,text/html
